REFERENCIA;REFERENCIAS ALTERNAS;NOMBRE;DESCRIPCION;MARCA;LINEA;SUB-LINEA;CLASIFICACION;INVENTARIO;PRECIO LISTA
K3492B;#N/D;SINCRONIZADOR PATA GRUESA TODAS CAJAS (JGO X 5);#N/D;FULLER;FULLER;FULLER;TRANSMISION;4359,00;#N/D
K3220/3002466;#N/D;TORRE MONO 16918;#N/D;FULLER;FULLER;FULLER;TRANSMISION;545,00;#N/D
5658283;5413782 4062732 4331387;CULATA DE ISX CONTIENE (KIT REPARACION CULATA KISX410145400/5579438 + KIT BUJES DE LEVAS COMPLETO 4309097 + TAPONES METALICOS) ;CULATA DE ISX CONTIENE (KIT REPARACION CULATA KISX410145400/5579438 + KIT BUJES DE LEVAS COMPLETO 4309097 + TAPONES METALICOS) ;CUMMINS;CUMMINS;CUMMINS;MOTOR;31,00;$ 18.723.738,00
KIT4423MER;0;KIT RODAMIENTO DELANTERO 46160 (52618/52400) CON RETENDOR BRA11205X2728 (BRASIL) ORIGEN BRASIL;KIT RODAMIENTO DELANTERO 46160 (52618/52400) CON RETENDOR BRA11205X2728 (BRASIL) ORIGEN BRASIL;MERITOR;MERITOR;MERITOR;DIFERENCIAL;514,00;$ 1.041.667,00
30437 000L;0;KIT SUSPENSION BUJES CENTRALES TANDEM (JGO X 18);KIT SUSPENSION BUJES CENTRALES TANDEM (JGO X 18);HENDRICKSON;HENDRICKSON;HENDRICKSON;SUSPENSION;278,00;$ 1.434.800,00
KIT4426MER;KIT4426TMK;KIT RODAMIENTO TRASERO 46160 (592/594) CON RETENEDOR BRA1205A2731 (BRASIL) ORIGEN BRASIL;KIT RODAMIENTO TRASERO 46160 (592/594) CON RETENEDOR BRA1205A2731 (BRASIL) ORIGEN BRASIL;MERITOR;MERITOR;MERITOR;DIFERENCIAL;486,00;$ 1.019.022,00
K3367;0;BOMBA ACEITE CAJA;BOMBA ACEITE CAJA;FULLER;FULLER;FULLER;TRANSMISION;926,00;$ 378.300,00
4090008;ISM-101-017;OVERHAUL ISM CON PISTON ARTICULADO 4059897- 4059899 - 4059898 FALDA EN ALUMINIO Y CORONA ANONIZADA (6) + JGO ANILLOS 3803977 (6) + PINES 3016652 (2) + BULON 437486 (6) + CAMISA 3080760 (6) + ORING CAMISA 3047188 (6) + JGO CASQUETERIA BANCADA CON MEDIALUNAS 5473397 (1) + JGO CASQUETERIA BIELA 3016760 (1) + EMPAQUETADURA SUPERIOR 4089478 (1) + EMPAQUE DEL CARTER 5394102 (1) + FILTRO COMBUSTIBLE FS1003 (1) + FILTRO ACEITE LF14001NN (1);OVERHAUL ISM CON PISTON ARTICULADO 4059897- 4059899 - 4059898 FALDA EN ALUMINIO Y CORONA ANONIZADA (6) + JGO ANILLOS 3803977 (6) + PINES 3016652 (2) + BULON 437486 (6) + CAMISA 3080760 (6) + ORING CAMISA 3047188 (6) + JGO CASQUETERIA BANCADA CON MEDIALUNAS 5473397 (1) + JGO CASQUETERIA BIELA 3016760 (1) + EMPAQUETADURA SUPERIOR 4089478 (1) + EMPAQUE DEL CARTER 5394102 (1) + FILTRO COMBUSTIBLE FS1003 (1) + FILTRO ACEITE LF14001NN (1);CUMMINS;CUMMINS;CUMMINS;MOTOR;30,00;$ 9.598.846,00
SET403MER/802604;#N/D;SET RODAMIENTO (594A/592);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;3302,00;#N/D
A39666-1 DS;#N/D;CORONA SPEED 8X43 DEL 46160 (SP39893K);#N/D;MERITOR;MERITOR;MERITOR;DIFERENCIAL;123,00;#N/D
